network,needChange,chainId,remoteChainId,contractName,functionName,args,diff,calldata
"fuji","true","10106","","SatoshiSquads","setUseCustomAdapterParams","[true]","{""useCustomAdapterParams"":{""oldValue"":false,""newValue"":true}}","0xeab45d9c0000000000000000000000000000000000000000000000000000000000000001"
"fuji","false","10106","","SatoshiSquads","setDefaultFeeBp","[0]","","0x5a359dc50000000000000000000000000000000000000000000000000000000000000000"
"fuji","true","10106","","SatoshiSquads","setTrustedRemote","[10143,""0x6e181bf38ba1fbaad5d2f6e43750976842aaa4539409a98cb9209cea5337a0693547ea4f51e15f08""]","{""trustedRemote"":{""oldValue"":""0x"",""newValue"":""0x6e181bf38ba1fbaad5d2f6e43750976842aaa4539409a98cb9209cea5337a0693547ea4f51e15f08""}}","0xeb8d72b7000000000000000000000000000000000000000000000000000000000000279f000000000000000000000000000000000000000000000000000000000000004000000000000000000000000000000000000000000000000000000000000000286e181bf38ba1fbaad5d2f6e43750976842aaa4539409a98cb9209cea5337a0693547ea4f51e15f08000000000000000000000000000000000000000000000000"
"fuji","true","10106","","SatoshiSquads","setTrustedRemote","[10102,""0x2073a3907bfcb9381c9e9bfe2c06df9cd66ca79e9409a98cb9209cea5337a0693547ea4f51e15f08""]","{""trustedRemote"":{""oldValue"":""0x"",""newValue"":""0x2073a3907bfcb9381c9e9bfe2c06df9cd66ca79e9409a98cb9209cea5337a0693547ea4f51e15f08""}}","0xeb8d72b70000000000000000000000000000000000000000000000000000000000002776000000000000000000000000000000000000000000000000000000000000004000000000000000000000000000000000000000000000000000000000000000282073a3907bfcb9381c9e9bfe2c06df9cd66ca79e9409a98cb9209cea5337a0693547ea4f51e15f08000000000000000000000000000000000000000000000000"
"fuji","false","10106","","SatoshiSquads","setFeeBp","[10102,false,0]","","0x79c0ad4b000000000000000000000000000000000000000000000000000000000000277600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"fuji","false","10106","","SatoshiSquads","setFeeBp","[10143,false,0]","","0x79c0ad4b000000000000000000000000000000000000000000000000000000000000279f00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"fuji","true","10106","","SatoshiSquads","setMinDstGas","[10102,0,100000]","{""oldValue"":0,""newValue"":100000}","0xdf2a5b3b0000000000000000000000000000000000000000000000000000000000002776000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000186a0"
"fuji","true","10106","","SatoshiSquads","setMinDstGas","[10102,1,160000]","{""oldValue"":0,""newValue"":160000}","0xdf2a5b3b000000000000000000000000000000000000000000000000000000000000277600000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000027100"
"fuji","true","10106","","SatoshiSquads","setMinDstGas","[10143,0,2000000]","{""oldValue"":0,""newValue"":2000000}","0xdf2a5b3b000000000000000000000000000000000000000000000000000000000000279f000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001e8480"
"fuji","true","10106","","SatoshiSquads","setMinDstGas","[10143,1,3200000]","{""oldValue"":0,""newValue"":3200000}","0xdf2a5b3b000000000000000000000000000000000000000000000000000000000000279f0000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000030d400"
"bsc-testnet","true","10102","","SatoshiSquads","setUseCustomAdapterParams","[true]","{""useCustomAdapterParams"":{""oldValue"":false,""newValue"":true}}","0xeab45d9c0000000000000000000000000000000000000000000000000000000000000001"
"bsc-testnet","true","10102","","SatoshiSquads","setDefaultFeeBp","[5]","{""defaultFeeBp"":{""oldValue"":0,""newValue"":5}}","0x5a359dc50000000000000000000000000000000000000000000000000000000000000005"
"bsc-testnet","true","10102","","SatoshiSquads","setTrustedRemote","[10106,""0x9409a98cb9209cea5337a0693547ea4f51e15f082073a3907bfcb9381c9e9bfe2c06df9cd66ca79e""]","{""trustedRemote"":{""oldValue"":""0x"",""newValue"":""0x9409a98cb9209cea5337a0693547ea4f51e15f082073a3907bfcb9381c9e9bfe2c06df9cd66ca79e""}}","0xeb8d72b7000000000000000000000000000000000000000000000000000000000000277a000000000000000000000000000000000000000000000000000000000000004000000000000000000000000000000000000000000000000000000000000000289409a98cb9209cea5337a0693547ea4f51e15f082073a3907bfcb9381c9e9bfe2c06df9cd66ca79e000000000000000000000000000000000000000000000000"
"bsc-testnet","true","10102","","SatoshiSquads","setTrustedRemote","[10143,""0x6e181bf38ba1fbaad5d2f6e43750976842aaa4532073a3907bfcb9381c9e9bfe2c06df9cd66ca79e""]","{""trustedRemote"":{""oldValue"":""0x"",""newValue"":""0x6e181bf38ba1fbaad5d2f6e43750976842aaa4532073a3907bfcb9381c9e9bfe2c06df9cd66ca79e""}}","0xeb8d72b7000000000000000000000000000000000000000000000000000000000000279f000000000000000000000000000000000000000000000000000000000000004000000000000000000000000000000000000000000000000000000000000000286e181bf38ba1fbaad5d2f6e43750976842aaa4532073a3907bfcb9381c9e9bfe2c06df9cd66ca79e000000000000000000000000000000000000000000000000"
"bsc-testnet","false","10102","","SatoshiSquads","setFeeBp","[10106,false,0]","","0x79c0ad4b000000000000000000000000000000000000000000000000000000000000277a00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"bsc-testnet","false","10102","","SatoshiSquads","setFeeBp","[10143,false,0]","","0x79c0ad4b000000000000000000000000000000000000000000000000000000000000279f00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"bsc-testnet","true","10102","","SatoshiSquads","setMinDstGas","[10106,0,100000]","{""oldValue"":0,""newValue"":100000}","0xdf2a5b3b000000000000000000000000000000000000000000000000000000000000277a000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000186a0"
"bsc-testnet","true","10102","","SatoshiSquads","setMinDstGas","[10106,1,160000]","{""oldValue"":0,""newValue"":160000}","0xdf2a5b3b000000000000000000000000000000000000000000000000000000000000277a00000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000027100"
"bsc-testnet","true","10102","","SatoshiSquads","setMinDstGas","[10143,0,2000000]","{""oldValue"":0,""newValue"":2000000}","0xdf2a5b3b000000000000000000000000000000000000000000000000000000000000279f000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001e8480"
"bsc-testnet","true","10102","","SatoshiSquads","setMinDstGas","[10143,1,3200000]","{""oldValue"":0,""newValue"":3200000}","0xdf2a5b3b000000000000000000000000000000000000000000000000000000000000279f0000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000030d400"
"arbitrum-goerli","true","10143","","SatoshiSquads","setUseCustomAdapterParams","[true]","{""useCustomAdapterParams"":{""oldValue"":false,""newValue"":true}}","0xeab45d9c0000000000000000000000000000000000000000000000000000000000000001"
"arbitrum-goerli","false","10143","","SatoshiSquads","setDefaultFeeBp","[0]","","0x5a359dc50000000000000000000000000000000000000000000000000000000000000000"
"arbitrum-goerli","true","10143","","SatoshiSquads","setTrustedRemote","[10102,""0x2073a3907bfcb9381c9e9bfe2c06df9cd66ca79e6e181bf38ba1fbaad5d2f6e43750976842aaa453""]","{""trustedRemote"":{""oldValue"":""0x"",""newValue"":""0x2073a3907bfcb9381c9e9bfe2c06df9cd66ca79e6e181bf38ba1fbaad5d2f6e43750976842aaa453""}}","0xeb8d72b70000000000000000000000000000000000000000000000000000000000002776000000000000000000000000000000000000000000000000000000000000004000000000000000000000000000000000000000000000000000000000000000282073a3907bfcb9381c9e9bfe2c06df9cd66ca79e6e181bf38ba1fbaad5d2f6e43750976842aaa453000000000000000000000000000000000000000000000000"
"arbitrum-goerli","true","10143","","SatoshiSquads","setTrustedRemote","[10106,""0x9409a98cb9209cea5337a0693547ea4f51e15f086e181bf38ba1fbaad5d2f6e43750976842aaa453""]","{""trustedRemote"":{""oldValue"":""0x"",""newValue"":""0x9409a98cb9209cea5337a0693547ea4f51e15f086e181bf38ba1fbaad5d2f6e43750976842aaa453""}}","0xeb8d72b7000000000000000000000000000000000000000000000000000000000000277a000000000000000000000000000000000000000000000000000000000000004000000000000000000000000000000000000000000000000000000000000000289409a98cb9209cea5337a0693547ea4f51e15f086e181bf38ba1fbaad5d2f6e43750976842aaa453000000000000000000000000000000000000000000000000"
"arbitrum-goerli","false","10143","","SatoshiSquads","setFeeBp","[10102,false,0]","","0x79c0ad4b000000000000000000000000000000000000000000000000000000000000277600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"arbitrum-goerli","false","10143","","SatoshiSquads","setFeeBp","[10106,false,0]","","0x79c0ad4b000000000000000000000000000000000000000000000000000000000000277a00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"arbitrum-goerli","true","10143","","SatoshiSquads","setMinDstGas","[10106,0,100000]","{""oldValue"":0,""newValue"":100000}","0xdf2a5b3b000000000000000000000000000000000000000000000000000000000000277a000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000186a0"
"arbitrum-goerli","true","10143","","SatoshiSquads","setMinDstGas","[10106,1,160000]","{""oldValue"":0,""newValue"":160000}","0xdf2a5b3b000000000000000000000000000000000000000000000000000000000000277a00000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000027100"
"arbitrum-goerli","true","10143","","SatoshiSquads","setMinDstGas","[10102,0,100000]","{""oldValue"":0,""newValue"":100000}","0xdf2a5b3b0000000000000000000000000000000000000000000000000000000000002776000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000186a0"
"arbitrum-goerli","true","10143","","SatoshiSquads","setMinDstGas","[10102,1,160000]","{""oldValue"":0,""newValue"":160000}","0xdf2a5b3b000000000000000000000000000000000000000000000000000000000000277600000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000027100"